,trades,Total return,Average Gain,Average Loss,勝率,Average gain and profit
ATVI,15,-7.05,5.91,-4.4,0.4,-0.27529236776048993
AMD,12,459.14,32.36,-8.03,0.6666666666666666,18.89604369004374
ALXN,6,-16.64,3.3,-4.17,0.16666666666666666,-2.921246684204087
ALGN,11,341.1,38.23,-4.62,0.5454545454545454,18.751382152445544
GOOGL,15,-1.0,3.91,-2.6,0.4,0.007104388977969611
GOOG,14,6.16,3.38,-2.39,0.5,0.495444208149201
AMZN,12,104.77,16.72,-2.85,0.5,6.933556187560938
AEP,12,34.43,3.91,-3.94,0.8333333333333334,2.6024898151944016
AMGN,12,-18.77,4.71,-5.97,0.4166666666666667,-1.5230603220380343
ADI,14,-12.28,6.13,-5.84,0.42857142857142855,-0.709811919156143
ANSYS,0,0.0,0.0,0.0,0.0,0.0
ANSS,18,14.55,8.47,-3.78,0.3888888888888889,0.98468885412038
AAPL,13,92.08,15.57,-4.99,0.5384615384615384,6.081793453912536
AMAT,14,24.65,11.17,-4.88,0.42857142857142855,1.999962792923124
ASML,17,11.15,9.66,-5.1,0.4117647058823529,0.9787831703379348
TEAM,17,22.57,13.21,-6.26,0.4117647058823529,1.755618517935578
ADSK,16,-0.75,8.79,-6.35,0.4375,0.2765041722056627
ADP,15,-3.68,4.83,-3.46,0.4,-0.14357662486261313
BIDU,8,-27.7,8.39,-7.71,0.25,-3.685937284437589
BIIB,7,-40.51,0.0,-7.11,0.0,-7.105790148527177
BKNG,12,-25.62,4.12,-4.46,0.25,-2.3120776059698462
AVGO,18,-13.27,4.67,-5.83,0.5,-0.5806912506573587
CDNS,15,74.19,11.91,-4.19,0.5333333333333333,4.397503954946803
CDW,16,9.24,5.09,-4.87,0.5625,0.7312788162654229
CDW,16,9.24,5.09,-4.87,0.5625,0.7312788162654229
CERN,9,-4.95,10.03,-5.37,0.3333333333333333,-0.2343009596039094
CHTR,15,36.26,8.01,-4.19,0.5333333333333333,2.3155060719976865
CHKP,10,-5.18,6.85,-5.02,0.4,-0.27080917002661353
CTAS,15,62.74,11.22,-2.96,0.4666666666666667,3.6588852076673284
CSCO,14,-5.01,10.04,-4.17,0.2857142857142857,-0.10991083698308479
CTSH,7,18.8,9.17,-2.23,0.42857142857142855,2.6596176307029875
CMCSA,17,-14.96,5.5,-4.27,0.35294117647058826,-0.8215356023942626
CPRT,18,171.55,11.43,-4.42,0.6666666666666666,6.143539447478974
COST,14,20.32,6.25,-3.22,0.5,1.5123841802814932
CSX,12,77.59,8.5,-4.19,0.75,5.325458509800667
DXCM,13,-8.45,6.97,-6.74,0.46153846153846156,-0.40953963940339344
DOCU,4,122.37,42.19,-9.05,0.75,29.381253828836137
DLTR,11,-7.98,13.01,-5.23,0.2727272727272727,-0.2568572495727204
EBAY,9,20.07,15.5,-3.57,0.3333333333333333,2.7903448088615
EA,11,27.43,8.38,-4.45,0.5454545454545454,2.5453515901808808
EXC,15,-9.23,2.73,-2.8,0.4,-0.5907953830128889
FB,15,-19.78,5.08,-5.52,0.4,-1.2815899380787839
FAST,14,9.91,12.25,-5.12,0.35714285714285715,1.0849721704628275
FISV,16,2.82,4.35,-2.91,0.4375,0.2659164487270489
FOXA,0,0.0,0.0,0.0,0.0,0.0
FOX,0,0.0,0.0,0.0,0.0,0.0
GILD,4,0.29,6.54,-5.8,0.5,0.3673853916050711
IDXX,14,132.86,18.34,-4.42,0.5,6.958329742009797
ILMN,11,-15.97,5.27,-8.7,0.5454545454545454,-1.080298870902881
INCY,7,-13.72,8.98,-6.1,0.2857142857142857,-1.7936792948289537
INTC,12,1.77,7.83,-4.86,0.4166666666666667,0.42670065406528357
INTU,16,11.53,7.17,-2.97,0.375,0.8350878514222289
ISRG,14,42.03,15.21,-5.27,0.42857142857142855,3.503357963152444
JD,12,40.22,34.54,-5.68,0.25,4.374511791982424
KDP,11,29.61,13.58,-3.16,0.36363636363636365,2.9271142462873976
KLAC,14,-1.07,12.95,-6.4,0.35714285714285715,0.5092340604326573
KHC,6,-11.5,9.87,-4.22,0.16666666666666666,-1.8741382308549923
LRCX,14,56.72,12.86,-4.87,0.5,3.9957217047771287
LULU,14,103.58,16.85,-4.74,0.5,6.05436623724815
MAR,7,48.76,12.46,-2.01,0.5714285714285714,6.254322616938129
MRVL,15,8.48,7.66,-6.77,0.5333333333333333,0.9259093212931258
MTCH,17,74.39,17.86,-5.45,0.4117647058823529,4.1484010738284764
MXIM,13,14.12,6.05,-3.03,0.46153846153846156,1.1611019938478193
MELI,13,104.35,19.14,-7.19,0.5384615384615384,6.9903270507935655
MCHP,18,-20.93,6.97,-6.1,0.3888888888888889,-1.0170844606043419
MU,11,33.16,21.97,-6.41,0.36363636363636365,3.9126384186019925
MSFT,14,51.02,7.36,-4.18,0.6428571428571429,3.238856650703963
MRNA,8,57.09,69.51,-8.33,0.25,11.131820586953678
MDLZ,15,-35.3,2.29,-4.64,0.26666666666666666,-2.7887372035010274
MNST,11,11.97,5.83,-4.31,0.5454545454545454,1.2196232800426445
NTES,11,32.96,21.54,-6.37,0.36363636363636365,3.7813072461691872
NFLX,16,2.15,14.02,-5.29,0.3125,0.7428332735588707
NVDA,16,245.85,24.86,-5.37,0.5,9.747707105855383
NXPI,11,-11.32,5.48,-4.54,0.36363636363636365,-0.9007556160600139
ORLY,10,5.55,8.19,-6.36,0.5,0.9158099764869778
OKTA,11,60.09,22.52,-8.0,0.45454545454545453,5.877225749902927
PCAR,14,-12.6,8.15,-4.33,0.2857142857142857,-0.7620296967009859
PAYX,10,40.63,9.5,-2.21,0.5,3.645509739023896
PYPL,12,81.13,41.64,-4.45,0.25,7.069818376736913
PTON,1,9.69,9.69,0.0,1.0,9.694433906070742
PEP,15,-4.85,3.19,-2.55,0.4,-0.25460428676868374
PDD,3,124.83,60.26,-8.15,0.6666666666666666,37.45811952618722
QUALCOMM,0,0.0,0.0,0.0,0.0,0.0
QCOM,11,-3.75,8.66,-5.03,0.36363636363636365,-0.049385881175956214
REGN,5,38.03,14.57,-3.81,0.6,7.217150606845186
ROST,12,21.68,6.84,-4.88,0.5833333333333334,1.9567101642262155
SGEN,10,56.09,13.17,-6.75,0.6,5.206523293296414
SIRI,7,33.88,6.83,-1.78,0.7142857142857143,4.373709088631083
SWKS,7,31.88,19.95,-6.26,0.42857142857142855,4.971296676858479
SPLK,14,-21.31,10.39,-6.05,0.2857142857142857,-1.3526968804172883
SBUX,10,30.73,9.34,-3.32,0.5,3.0070166099522715
SNPS,16,43.18,10.29,-5.05,0.5,2.6201582398206993
TMUS,15,-5.12,10.18,-3.8,0.26666666666666666,-0.06825536447560188
TSLA,10,146.33,27.96,-5.1,0.5,11.426177401092094
TXN,16,8.89,9.26,-4.31,0.375,0.7786400624868097
TCOM,7,-25.35,7.01,-5.81,0.14285714285714285,-3.9811102459114567
VRSN,11,26.11,22.11,-4.43,0.2727272727272727,2.8080443579513505
VRSK,17,-8.07,7.66,-3.61,0.29411764705882354,-0.29845460981050387
VRTX,9,23.31,11.72,-4.41,0.4444444444444444,2.7618578981349873
WBA,4,-4.24,6.76,-3.54,0.25,-0.9623270977099392
WDAY,16,-37.47,3.98,-5.84,0.3125,-2.7693503356002824
XEL,14,29.37,4.26,-2.19,0.6428571428571429,1.9576294386053532
XLNX,13,-1.77,6.83,-5.63,0.46153846153846156,0.12006720307350838
ZM,4,88.83,47.62,-6.14,0.5,20.74026709087817
