,trades,Total return,Average Gain,Average Loss,勝率,Average gain and profit
ATVI,0,0.0,0.0,0.0,0.0,0.0
AMD,0,0.0,0.0,0.0,0.0,0.0
ALXN,1,1.14,1.14,0.0,1.0,1.1443026162011205
ALGN,0,0.0,0.0,0.0,0.0,0.0
GOOGL,0,0.0,0.0,0.0,0.0,0.0
GOOG,0,0.0,0.0,0.0,0.0,0.0
AMZN,0,0.0,0.0,0.0,0.0,0.0
AEP,0,0.0,0.0,0.0,0.0,0.0
AMGN,0,0.0,0.0,0.0,0.0,0.0
ADI,0,0.0,0.0,0.0,0.0,0.0
ANSYS,0,0.0,0.0,0.0,0.0,0.0
ANSS,0,0.0,0.0,0.0,0.0,0.0
AAPL,1,0.81,0.81,0.0,1.0,0.8066952875422584
AMAT,0,0.0,0.0,0.0,0.0,0.0
ASML,0,0.0,0.0,0.0,0.0,0.0
TEAM,0,0.0,0.0,0.0,0.0,0.0
ADSK,0,0.0,0.0,0.0,0.0,0.0
ADP,0,0.0,0.0,0.0,0.0,0.0
BIDU,0,0.0,0.0,0.0,0.0,0.0
BIIB,0,0.0,0.0,0.0,0.0,0.0
BKNG,0,0.0,0.0,0.0,0.0,0.0
AVGO,0,0.0,0.0,0.0,0.0,0.0
CDNS,1,1.62,1.62,0.0,1.0,1.618796199047523
CDW,0,0.0,0.0,0.0,0.0,0.0
CDW,0,0.0,0.0,0.0,0.0,0.0
CERN,0,0.0,0.0,0.0,0.0,0.0
CHTR,0,0.0,0.0,0.0,0.0,0.0
CHKP,1,0.37,0.37,0.0,1.0,0.36823899793479997
CTAS,0,0.0,0.0,0.0,0.0,0.0
CSCO,0,0.0,0.0,0.0,0.0,0.0
CTSH,0,0.0,0.0,0.0,0.0,0.0
CMCSA,0,0.0,0.0,0.0,0.0,0.0
CPRT,0,0.0,0.0,0.0,0.0,0.0
COST,0,0.0,0.0,0.0,0.0,0.0
CSX,3,0.62,1.39,-0.38,0.3333333333333333,0.20993387971565503
DXCM,0,0.0,0.0,0.0,0.0,0.0
DOCU,0,0.0,0.0,0.0,0.0,0.0
DLTR,1,-0.39,0.0,-0.39,0.0,-0.3927002140946767
EBAY,0,0.0,0.0,0.0,0.0,0.0
EA,1,-0.76,0.0,-0.76,0.0,-0.7598266889927929
EXC,0,0.0,0.0,0.0,0.0,0.0
FB,0,0.0,0.0,0.0,0.0,0.0
FAST,0,0.0,0.0,0.0,0.0,0.0
FISV,0,0.0,0.0,0.0,0.0,0.0
FOXA,0,0.0,0.0,0.0,0.0,0.0
FOX,0,0.0,0.0,0.0,0.0,0.0
GILD,0,0.0,0.0,0.0,0.0,0.0
IDXX,0,0.0,0.0,0.0,0.0,0.0
ILMN,3,-7.89,0.0,-2.69,0.0,-2.68615289109407
INCY,0,0.0,0.0,0.0,0.0,0.0
INTC,0,0.0,0.0,0.0,0.0,0.0
INTU,1,0.13,0.13,0.0,1.0,0.1289347222569015
ISRG,1,-3.21,0.0,-3.21,0.0,-3.211180823362092
JD,0,0.0,0.0,0.0,0.0,0.0
KDP,0,0.0,0.0,0.0,0.0,0.0
KLAC,1,-2.51,0.0,-2.51,0.0,-2.5074911787005494
KHC,1,-1.86,0.0,-1.86,0.0,-1.8583500479377735
LRCX,0,0.0,0.0,0.0,0.0,0.0
LULU,1,0.39,0.39,0.0,1.0,0.3908980291001507
MAR,4,5.54,1.96,-0.42,0.75,1.3629058062481658
MRVL,0,0.0,0.0,0.0,0.0,0.0
MTCH,0,0.0,0.0,0.0,0.0,0.0
MXIM,0,0.0,0.0,0.0,0.0,0.0
MELI,0,0.0,0.0,0.0,0.0,0.0
MCHP,0,0.0,0.0,0.0,0.0,0.0
MU,0,0.0,0.0,0.0,0.0,0.0
MSFT,0,0.0,0.0,0.0,0.0,0.0
MRNA,0,0.0,0.0,0.0,0.0,0.0
MDLZ,0,0.0,0.0,0.0,0.0,0.0
MNST,1,3.98,3.98,0.0,1.0,3.9750340414742236
NTES,0,0.0,0.0,0.0,0.0,0.0
NFLX,0,0.0,0.0,0.0,0.0,0.0
NVDA,0,0.0,0.0,0.0,0.0,0.0
NXPI,0,0.0,0.0,0.0,0.0,0.0
ORLY,0,0.0,0.0,0.0,0.0,0.0
OKTA,0,0.0,0.0,0.0,0.0,0.0
PCAR,0,0.0,0.0,0.0,0.0,0.0
PAYX,0,0.0,0.0,0.0,0.0,0.0
PYPL,0,0.0,0.0,0.0,0.0,0.0
PTON,0,0.0,0.0,0.0,0.0,0.0
PEP,0,0.0,0.0,0.0,0.0,0.0
PDD,0,0.0,0.0,0.0,0.0,0.0
QUALCOMM,0,0.0,0.0,0.0,0.0,0.0
QCOM,1,-0.1,0.0,-0.1,0.0,-0.09549128433481435
REGN,0,0.0,0.0,0.0,0.0,0.0
ROST,3,-0.19,0.0,-0.06,0.0,-0.06254583072446233
SGEN,0,0.0,0.0,0.0,0.0,0.0
SIRI,2,0.49,1.01,-0.51,0.5,0.2499482259645469
SWKS,0,0.0,0.0,0.0,0.0,0.0
SPLK,0,0.0,0.0,0.0,0.0,0.0
SBUX,0,0.0,0.0,0.0,0.0,0.0
SNPS,0,0.0,0.0,0.0,0.0,0.0
TMUS,2,-0.56,0.03,-0.59,0.5,-0.2802673320387805
TSLA,2,-4.33,0.0,-2.18,0.0,-2.1811229065926474
TXN,0,0.0,0.0,0.0,0.0,0.0
TCOM,0,0.0,0.0,0.0,0.0,0.0
VRSN,0,0.0,0.0,0.0,0.0,0.0
VRSK,1,-0.64,0.0,-0.64,0.0,-0.6399089639636424
VRTX,0,0.0,0.0,0.0,0.0,0.0
WBA,0,0.0,0.0,0.0,0.0,0.0
WDAY,0,0.0,0.0,0.0,0.0,0.0
XEL,0,0.0,0.0,0.0,0.0,0.0
XLNX,0,0.0,0.0,0.0,0.0,0.0
ZM,0,0.0,0.0,0.0,0.0,0.0
