,trades,Total return,Average Gain,Average Loss,勝率,Average gain and profit
ATVI,7,41.26,14.77,-6.11,0.5714285714285714,5.822834191432151
AMD,9,527.98,68.91,-9.05,0.5555555555555556,34.26264972371509
ALXN,5,-20.63,0.96,-5.81,0.2,-4.459945611191634
ALGN,8,187.89,62.28,-4.89,0.375,20.297904395680842
GOOGL,7,13.41,5.6,-0.87,0.42857142857142855,1.9028335712289488
GOOG,8,7.16,4.97,-2.97,0.5,0.9976081627073725
AMZN,7,153.56,31.59,-3.66,0.5714285714285714,16.480139159177487
AEP,8,25.51,15.79,-4.01,0.375,3.4171933182631333
AMGN,12,-33.12,4.25,-5.66,0.25,-3.17833928872757
ADI,11,-23.31,11.09,-6.76,0.2727272727272727,-1.8957471460864084
ANSYS,0,0.0,0.0,0.0,0.0,0.0
ANSS,8,47.3,17.79,-6.15,0.5,5.821540135099568
AAPL,7,61.62,28.97,-6.51,0.42857142857142855,8.69638165868326
AMAT,8,62.82,22.39,-7.26,0.5,7.5652328855905555
ASML,10,50.29,23.5,-6.14,0.4,5.715956732179222
TEAM,10,82.72,19.54,-8.34,0.6,8.388623608481137
ADSK,10,41.91,24.37,-6.72,0.4,5.71448115033164
ADP,11,7.14,5.97,-3.57,0.45454545454545453,0.7651618758032188
BIDU,7,-23.74,21.24,-7.41,0.14285714285714285,-3.31590480303454
BIIB,6,-37.33,0.0,-7.45,0.0,-7.448498293409969
BKNG,9,-23.33,14.5,-7.18,0.2222222222222222,-2.3595921328605187
AVGO,12,7.07,19.76,-4.93,0.25,1.2467980626805564
CDNS,8,136.77,35.26,-6.34,0.5,14.4617144133335
CDW,10,46.96,9.59,-3.66,0.6,4.290223930697252
CDW,10,46.96,9.59,-3.66,0.6,4.290223930697252
CERN,7,-4.54,12.8,-5.56,0.2857142857142857,-0.31781480852094646
CHTR,10,38.56,13.09,-5.44,0.5,3.8254981737811433
CHKP,7,-0.67,14.64,-5.17,0.2857142857142857,0.4871032229168777
CTAS,8,111.44,15.64,-4.86,0.75,10.516624346891826
CSCO,11,-1.03,12.61,-6.38,0.36363636363636365,0.5238170715007842
CTSH,4,31.52,12.7,-7.27,0.75,7.708562115837406
CMCSA,9,9.22,9.65,-5.37,0.4444444444444444,1.306647980524133
CPRT,5,381.68,38.22,0.0,1.0,38.22032961017213
COST,7,61.57,11.92,-3.59,0.7142857142857143,7.489082964510658
CSX,8,85.12,18.59,-5.32,0.625,9.62593355223737
DXCM,10,23.8,19.79,-7.48,0.4,3.429313874190802
DOCU,2,-1.32,8.5,-9.05,0.5,-0.274203829176229
DLTR,11,-30.39,22.05,-5.45,0.09090909090909091,-2.9494043130369874
EBAY,9,2.28,14.06,-5.48,0.3333333333333333,1.0379512108066242
EA,7,42.29,15.11,-6.18,0.5714285714285714,5.983011688136347
EXC,6,24.14,10.4,-7.9,0.6666666666666666,4.30278927249657
FB,11,-12.98,10.06,-5.05,0.2727272727272727,-0.9275591481343701
FAST,9,23.62,6.69,-5.49,0.6666666666666666,2.628812032305408
FISV,9,19.46,5.42,-4.36,0.6666666666666666,2.157809492125881
FOXA,0,0.0,0.0,0.0,0.0,0.0
FOX,0,0.0,0.0,0.0,0.0,0.0
GILD,5,-15.51,7.98,-5.93,0.2,-3.1507486850553557
IDXX,9,170.77,29.52,-6.94,0.5555555555555556,13.319464790657701
ILMN,9,-17.11,9.14,-9.6,0.4444444444444444,-1.2694997485475996
INCY,7,-26.36,13.02,-6.88,0.14285714285714285,-4.037947909692351
INTC,10,-8.05,7.33,-5.83,0.4,-0.5650009305275607
INTU,7,53.55,10.95,-3.91,0.7142857142857143,6.707173159604988
ISRG,8,107.3,35.08,-6.6,0.5,14.240369565985441
JD,8,74.54,38.19,-6.96,0.375,9.969824941460532
KDP,7,44.14,20.49,-3.52,0.42857142857142855,6.768818833530894
KLAC,11,4.2,18.73,-5.64,0.2727272727272727,1.0106891246037888
