,trades,Total return,Average Gain,Average Loss,勝率,Average gain and profit,average holding period
MMM,9,-12.37,6.19,-5.0,0.3333333333333333,-1.271497390085195,117.0
AOS,11,26.44,13.73,-3.43,0.36363636363636365,2.809092057931137,115.72727272727273
ABT,6,80.95,30.71,-4.0,0.5,13.353002742099312,59.0
ABBV,7,82.34,19.99,-2.0,0.5714285714285714,10.563731325831315,128.57142857142858
ABMD,7,352.27,50.96,-6.0,0.7142857142857143,34.687250482906286,133.16666666666666
ACN,9,16.43,7.54,-1.03,0.3333333333333333,1.8252137057642646,188.0
ATVI,12,102.62,9.47,-2.0,0.75,6.604540991802558,118.7
ADBE,8,166.43,26.37,-0.71,0.625,16.218209304097034,246.2
AAP,11,-11.75,6.37,-5.14,0.36363636363636365,-0.9564258355799744,55.888888888888886
AMD,26,69.87,12.14,-3.49,0.38461538461538464,2.524518117047103,19.5
AES,7,110.75,27.95,-6.0,0.5714285714285714,13.397455477304122,104.4
AFL,7,18.73,26.91,-5.34,0.2857142857142857,3.876724515545185,227.42857142857142
A,7,75.14,20.21,-4.0,0.5714285714285714,9.831596606175525,219.42857142857142
APD,8,11.36,10.54,-3.6,0.375,1.7017845910681713,86.85714285714286
AKAM,13,-7.27,8.95,-5.95,0.38461538461538464,-0.21893884139948083,32.666666666666664
ALK,12,-21.61,6.65,-4.69,0.25,-1.8563101083659015,68.0
ALB,9,154.85,39.53,-4.87,0.4444444444444444,14.860317709793406,143.0
ARE,5,47.22,68.77,-3.32,0.2,11.098044902278883,316.8
ALXN,13,-39.28,0.0,-3.72,0.0,-3.7223269646550126,30.846153846153847
ALGN,15,315.12,59.13,-3.89,0.3333333333333333,17.11595946102377,104.45454545454545
ALLE,12,-7.07,8.33,-3.37,0.25,-0.44269091762203683,98.27272727272727
LNT,3,62.2,72.56,-3.0,0.3333333333333333,22.1856339698879,559.0
ALL,4,59.84,19.71,-6.0,0.75,13.28565555467065,376.75
GOOGL,8,65.18,7.58,0.0,0.875,6.636758975792886,88.66666666666667
GOOG,11,37.87,5.86,-1.82,0.6363636363636364,3.0662573972316256,100.5
MO,12,-12.98,5.0,-2.3,0.16666666666666666,-1.0807415861115106,72.33333333333333
AMZN,11,193.79,22.12,-3.4,0.6363636363636364,12.838948338829304,187.16666666666666
AMCR,9,-3.99,5.0,-3.02,0.3333333333333333,-0.34908356769931026,104.625
AEE,7,33.31,14.89,-3.0,0.42857142857142855,4.669024683149772,210.85714285714286
AAL,7,14.03,6.6,-4.0,0.5714285714285714,2.0586088128995748,41.333333333333336
AEP,9,15.69,8.66,-3.6,0.4444444444444444,1.8476142074120205,105.25
AXP,9,12.31,16.47,-5.07,0.3333333333333333,2.111149856854891,159.0
AIG,10,-4.92,13.85,-3.75,0.2,-0.23076241882777193,87.1
AMT,7,45.29,46.77,-6.0,0.2857142857142857,9.077353815889786,211.71428571428572
AWK,4,121.68,64.8,-3.0,0.5,30.900138583363546,436.75
AMP,10,28.45,15.67,-5.0,0.4,3.268806258295047,96.6
ABC,10,-19.27,10.0,-3.33,0.1,-2.000000000000002,45.7
AME,8,40.83,14.9,-1.2,0.375,4.838727978396315,166.375
AMGN,14,-28.51,5.0,-3.5,0.14285714285714285,-2.2857142857142883,44.5
APH,8,45.2,12.2,-1.55,0.5,5.323194726058948,201.0
ADI,10,27.21,23.43,-5.14,0.3,3.42763700836134,120.0
ANSS,14,29.37,20.01,-3.99,0.2857142857142857,2.863647938217617,125.28571428571429
ANTM,8,33.94,85.26,-4.5,0.125,6.721564098625582,155.42857142857142
AON,5,66.85,42.42,-4.0,0.4,14.566873904672462,331.6
APA,14,-45.32,1.51,-4.62,0.07142857142857142,-4.1777811985408695,19.384615384615383
AIV,11,4.52,9.5,-4.29,0.36363636363636365,0.7290484833092896,105.45454545454545
AAPL,10,97.4,28.54,-4.4,0.4,8.77365631037419,42.0
AMAT,12,183.15,31.44,-2.45,0.4166666666666667,11.668366023393197,114.6
APTV,14,6.94,14.03,-4.2,0.2857142857142857,1.0089536868161488,78.6923076923077
ADM,12,-6.76,8.33,-3.33,0.25,-0.4166666666666683,63.75
ANET,8,258.85,63.59,-4.03,0.5,29.77690089591903,171.0
AJG,5,105.81,34.13,-3.0,0.6,19.275723083089453,344.2
AIZ,13,8.73,8.21,-3.75,0.38461538461538464,0.8509241906334934,89.15384615384616
T,7,0.88,10.21,-3.6,0.2857142857142857,0.3456869325505241,160.83333333333334
ATO,1,92.05,92.05,0.0,1.0,92.05066646506663,1679.0
ADSK,12,53.72,22.21,-3.48,0.3333333333333333,5.08028459125701,95.75
ADP,10,30.25,5.71,-4.0,0.7,2.8000000000000025,108.5
AZO,13,-12.84,6.95,-4.33,0.3076923076923077,-0.8621588905386601,47.857142857142854
AVB,8,-5.31,6.67,-4.8,0.375,-0.5000000000000022,119.375
AVY,10,37.13,7.53,-6.0,0.7,3.470262282588421,153.33333333333334
BKR,10,-1.06,8.31,-3.43,0.3,0.09405690457549287,29.9
BLL,12,13.61,14.25,-4.73,0.3333333333333333,1.599344900898335,94.0909090909091
BAC,8,56.34,29.48,-4.8,0.375,8.056250833490846,159.14285714285714
BAX,9,21.73,34.75,-4.82,0.2222222222222222,3.9700333433825903,163.85714285714286
BDX,9,2.1,9.72,-4.03,0.3333333333333333,0.5506521735295946,139.0
BRK.B,0,0.0,0.0,0.0,0.0,0.0,139.0
BBY,15,13.03,11.94,-4.2,0.3333333333333333,1.1811609265874776,58.666666666666664
BIO,11,61.36,20.75,-2.57,0.36363636363636365,5.909609214937767,131.8
BIIB,13,-45.44,5.0,-5.25,0.07692307692307693,-4.459914770658113,32.857142857142854
BLK,11,17.15,9.21,-2.57,0.36363636363636365,1.7125378235238364,102.36363636363636
BA,7,90.55,73.31,-5.55,0.2857142857142857,16.98087593401497,35.5
BKNG,16,-38.75,7.5,-4.38,0.125,-2.892961267780641,68.88888888888889
BWA,9,-1.2,8.33,-4.08,0.3333333333333333,0.05826380368314954,76.25
BXP,10,-20.14,5.0,-5.14,0.3,-2.1000000000000036,81.5
BSX,12,-7.85,8.64,-3.55,0.25,-0.5061297029583298,98.0
BMY,11,-16.88,8.03,-5.03,0.2727272727272727,-1.4699720241128222,73.4
